OBJECTID,LENGTH,LINK,Midx,Midy,Cseason,Oseason,Cstartdate,Cenddate,Ostartdate,Oenddate,DFWOpen,BEACHID,BEACHCOMMENT,CLASSIFICATIONDATE,CLASSIFICATION,REASONDESCRIPTION,ORGANIZATION,BIDN,BEACHNAME,WATERBODYNAME,COUNTYNAME,GROWINGAREANAME,ALLSPECIEDESCRIPTIONS,FINALSTATUS,UPDATED,SHAPE_Length
11,6921.413,,-122.84941131,48.70274052,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,729,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200490,DNR-233,President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,3503.76584698792
12,1130.042,,-122.95133014,48.69865811,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,693,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,200330,FREEMAN ISLAND SP,President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,521.251783912317
13,4242.328,,-123.06793117,48.70060209,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,664,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200180,DNR-364,President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,1859.09493817064
14,6501.883,,-122.77645793,48.70025133,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,679,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200240,DNR-229 (BARNES IS),President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,3002.41069531512
15,1342.643,,-122.94832607,48.69445259,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,692,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200320,DNR-238,President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,608.575202569498
16,927.93,,-122.90780347,48.69279449,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1386,None,2014/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220590,DNR-270A,East Sound,San Juan,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,427.920737124014
17,4682.034,,-123.00510065,48.69463068,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,675,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200220,DNR-361,President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,2390.32673777016
18,4837.373,,-122.81597309,48.69022115,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,727,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200470,DNR-231,President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,2325.78228438372
19,1451.917,,-123.0368168,48.68796772,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,668,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200190,DNR-361A,President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,592.649940797911
20,1712.768,http://parks.state.wa.us/547/Moran,-122.80638267,48.68454641,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,731,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,200500,MORAN SP,President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,789.600820026895
21,7630.76,,-122.63447202,48.68317772,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1150,None,2016/02/11 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,210100,DNR-221,Bellingham Bay,Whatcom,None,Varnish Clams,Closed,2023/04/12 03:01:35+00,2283.58411320215
22,14165.532,,-123.19063357,48.68018639,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,720,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200420,DNR-358 (SATELLITE),Spieden Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,6435.67116506287
23,3081.892,http://parks.state.wa.us/731/Reid-Harbor,-123.19943106,48.67775174,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1343,None,1998/06/02 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,200399,STUART ISLAND SP - REID HARBOR (NORTH BEACH),Spieden Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,1428.68190172405
24,3833.607,http://parks.state.wa.us/731/Reid-Harbor,-123.19925386,48.67519047,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1381,None,2014/06/24 08:48:59+00,Closed,This beach lies within a marina closure zone.  It is classified CLOSED for recreational shellfish harvesting.,None,200400,STUART ISLAND SP - REID HARBOR (SOUTH BEACH),Spieden Channel,San Juan,None,None,Closed,2023/04/12 03:01:35+00,1549.17097764812
25,5785.628,,-123.16996002,48.67699042,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,719,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200410,DNR-356A,Spieden Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,2654.68770310174
26,4000.803,,-122.66222365,48.67372892,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1148,None,2016/02/11 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,210090,DNR-220A,None,Whatcom,East San Juan,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,5210.47235806938
27,8425.068,,-122.98023356,48.67719378,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,691,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200310,DNR-239,President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,3816.12389737748
28,8427.005,,-122.91545016,48.67595761,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,889,None,2014/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220610,DNR-270,East Sound,San Juan,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,3887.59931827195
29,3713.473,,-123.16891846,48.66407169,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,712,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200370,DNR-356B,Spieden Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,1712.29533358884
30,33748.441,,-123.21332188,48.66810483,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,723,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200450,DNR-359 (STUART IS),Spieden Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,15439.2154379299
31,21575.496,,-122.77245316,48.6706935,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,730,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200495,LAWRENCE PT,President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,9826.03251401307
32,2377.187,,-123.13737019,48.65019763,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,715,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200380,DNR-353B (CACTUS IS),Spieden Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,1095.45001302236
33,4108.271,,-123.13009657,48.64833939,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,722,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200440,DNR-353A (CACTUS IS),Spieden Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,1892.62455343872
34,5385.957,,-122.87951094,48.6511317,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,903,None,2014/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220670,DNR-272,East Sound,San Juan,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,3297.99701223263
35,6245.54,,-123.01215692,48.65153522,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,688,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200290,DNR-240,President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,3201.68517059039
36,1514.202,,-122.76780944,48.64216902,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1387,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220570,DNR-282,Rosario Strait,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,763.707137931007
37,20816.355,,-122.61476137,48.65840144,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1152,None,2016/02/11 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,210110,DNR-220,Bellingham Bay,Whatcom,East San Juan,Varnish Clams,Closed,2023/04/12 03:01:35+00,8235.48525379223
38,11801.481,,-123.15330755,48.64482635,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,803,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220380,DNR-353,Spieden Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,5433.20170441697
39,1112.264,,-122.78434113,48.6391912,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,869,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220540,DNR-281A (DOE BAY),Rosario Strait,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,821.250621748299
40,1497.086,,-123.11846663,48.63955244,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,716,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200390,DNR-352,Spieden Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,687.855106373824
41,2426.879,,-123.13093242,48.63615727,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,721,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200430,DNR-352A,Spieden Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,1128.94481341925
42,5183.76,,-122.88663932,48.63980547,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,893,None,2014/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,220630,DNR-267,East Sound,San Juan,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,2332.74008054223
43,2325.752,http://parks.state.wa.us/498/Doe-Island,-122.78732078,48.63247425,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,872,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,220550,DOE ISLAND SP,Rosario Strait,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,1071.35844805711
44,6008.391,,-122.8600041,48.63787538,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,907,None,2014/06/24 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220700,DNR-274,East Sound,San Juan,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,2751.37892281386
45,2449.198,,-122.8780749,48.62788973,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,892,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220620,DNR-266B,East Sound,San Juan,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,1909.33550099102
46,3286.711,,-122.80370137,48.62269885,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,877,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220560,DNR-279,Rosario Strait,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,1457.91892592324
47,3667.666,,-122.84734247,48.62202539,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,898,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,220660,DNR-275,East Sound,San Juan,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,1661.09469967562
48,948.992,http://parks.state.wa.us/567/Posey-Island,-123.16770833,48.6180838,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,809,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,220400,POSEY ISLAND SP,Haro Strait,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,437.123900205991
49,2836.808,,-123.18071492,48.61931822,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,806,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,220390,DNR-340,Haro Strait,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,1197.38341776372
50,2868.357,,-122.87311614,48.61926532,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,888,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,220600,DNR-266,East Sound,San Juan,None,"Butter Clams,Varnish Clams",Closed,2023/04/12 03:01:35+00,1101.84165084698
51,15653.942,http://parks.state.wa.us/525/Jones-Island,-123.04652785,48.61715765,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,690,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,200300,JONES ISLAND SP,West Sound,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,7211.77264534922
